ErrorCode,ErrorColumn,ErrorMessage,SFOrderID,SFProductID,QuantityOrderedRevised,LastUnitPrice,LineKey,SageUpdateTime
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5tTAAS,01t4x000000ftIHAAY,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z60aAAC,01t4x000000fsS8AAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z60dAAC,01t4x000000ft8bAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z60fAAC,01t4x000000fs57AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5tmAAC,01t4x000000ft5gAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z606AAC,01t4x000000fsR8AAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5zTAAS,01t4x000000fs54AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5sxAAC,01t4x000000fshuAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5zIAAS,01t4x000000fw9NAAQ,.000000,.000000,000003,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5zIAAS,01t4x000000fw9NAAQ,.000000,.000000,000004,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5zKAAS,01t4x000000ftR5AAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5pYAAS,01t4x000000ft5bAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5z2AAC,01t4x000000ft5dAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5pJAAS,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5vJAAS,01t4x000000fshdAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5vKAAS,01t4x000000fsW5AAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5urAAC,01t4x000000ft8oAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5v0AAC,01t4x000000fst7AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5zSAAS,01t4x000000fw9OAAQ,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5uhAAC,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nVAAS,01t4x000000fsSCAAY,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nYAAS,01t4x000000fs0TAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nbAAC,01t4x000000ft5iAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nbAAC,01t4x000000ft64AAA,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nfAAC,01t4x000000ft5dAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nHAAS,01t4x000000froaAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nLAAS,01t4x000000frmyAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5jgAAC,01t4x000000frscAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5jhAAC,01t4x000000ft61AAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5jmAAC,01t4x000000fstYAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5jLAAS,01t4x000000ft5yAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5jKAAS,01t4x000000ftBAAAY,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5jHAAS,01t4x000000fsheAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5iWAAS,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5NaAAK,01t4x000000fw9OAAQ,.000000,.000000,000021,2013-11-03 17:06:05
